2017-12-26T12:09:08.448+0900 I COMMAND  [repl writer worker 8] setting featureCompatibilityVersion to 3.6
2017-12-26T12:09:08.448+0900 I NETWORK  [repl writer worker 8] Skip closing connection for connection # 6
2017-12-26T12:09:08.448+0900 I NETWORK  [repl writer worker 8] Skip closing connection for connection # 4
2017-12-26T12:09:08.448+0900 I NETWORK  [repl writer worker 8] Skip closing connection for connection # 3
2017-12-26T12:09:08.448+0900 I REPL     [repl writer worker 8] CollectionCloner ns:admin.system.version finished cloning with status: OK
2017-12-26T12:09:08.487+0900 I REPL     [repl writer worker 8] CollectionCloner::start called, on ns:admin.system.keys
2017-12-26T12:09:08.489+0900 I STORAGE  [repl writer worker 9] createCollection: admin.system.keys with provided UUID: e59d54f1-82f5-44d0-81e2-c6092a059be9
2017-12-26T12:09:08.585+0900 I INDEX    [repl writer worker 9] build index on: admin.system.keys properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "admin.system.keys" }
2017-12-26T12:09:08.585+0900 I INDEX    [repl writer worker 9] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-12-26T12:09:08.586+0900 I REPL     [repl writer worker 11] CollectionCloner ns:admin.system.keys finished cloning with status: OK
2017-12-26T12:09:08.593+0900 I REPL     [replication-0] CollectionCloner::start called, on ns:config.system.sessions
2017-12-26T12:09:08.594+0900 I STORAGE  [repl writer worker 14] createCollection: config.system.sessions with provided UUID: 08c9c297-5f35-4522-94d6-d79d0f749f4f
2017-12-26T12:09:08.687+0900 I INDEX    [repl writer worker 14] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
2017-12-26T12:09:08.687+0900 I INDEX    [repl writer worker 14] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-12-26T12:09:08.737+0900 I INDEX    [repl writer worker 14] build index on: config.system.sessions properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "config.system.sessions" }
2017-12-26T12:09:08.737+0900 I INDEX    [repl writer worker 14] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-12-26T12:09:08.738+0900 W REPL     [repl writer worker 7] _insertDocumentsCallback, but no documents to insert for ns:config.system.sessions
2017-12-26T12:09:08.738+0900 I REPL     [repl writer worker 7] CollectionCloner ns:config.system.sessions finished cloning with status: OK
2017-12-26T12:09:08.744+0900 I REPL     [repl writer worker 7] CollectionCloner::start called, on ns:config.transactions
2017-12-26T12:09:08.752+0900 I STORAGE  [repl writer worker 3] createCollection: config.transactions with provided UUID: 15b2968f-f32a-47ed-a24e-1185fb0c2653
2017-12-26T12:09:08.840+0900 I INDEX    [repl writer worker 3] build index on: config.transactions properties: { v: 2, key: { _id: 1 }, name: "_id_", ns: "config.transactions" }
2017-12-26T12:09:08.840+0900 I INDEX    [repl writer worker 3] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-12-26T12:09:08.842+0900 W REPL     [repl writer worker 0] _insertDocumentsCallback, but no documents to insert for ns:config.transactions
